Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dunraven,40.4530969,-88.9084429,El Toro,40.45590723481013,-88.91123388012821,Mexican Restaurant
Dunraven,40.4530969,-88.9084429,Links At Ireland Grove,40.4569206237793,-88.9106674194336,Golf Course
Eagle Creek Drive,40.4983622,-88.9218021,Jason's Deli,40.49616048449,-88.91873966942725,Food Truck
Eagle Creek Drive,40.4983622,-88.9218021,Casey's General Store,40.50018934241361,-88.92494271651775,Pizza Place
Eagle Creek Drive,40.4983622,-88.9218021,Family Video,40.50221579326235,-88.92458438873291,Video Store
Eagle Creek Drive,40.4983622,-88.9218021,Constitution Trail at McGraw Park,40.49611338051711,-88.92445244335573,Trail
Eagle Creek Drive,40.4983622,-88.9218021,Mcgraw park ball fields,40.494012071746994,-88.9220007549219,Baseball Field
Eagle Crest,40.51227969999999,-88.9170620461183,Eagle Crest Park,40.51309463743866,-88.91602112229151,Park
Eagle Ridge,40.51379005,-88.92842359798023,Northpoint Elementary Playground,40.510282091466046,-88.93160472782733,Playground
Eagle View,40.5144268,-88.9011587067983,Okgo Restaurant Group,40.514801,-88.901452,Food
Eagle View,40.5144268,-88.9011587067983,Bittner Park,40.51238356692379,-88.90505094148607,Park
Eastmoor,40.493786,-88.92644915826145,Constitution Trail at McGraw Park,40.49611338051711,-88.92445244335573,Trail
Eastmoor,40.493786,-88.92644915826145,Mcgraw park ball fields,40.494012071746994,-88.9220007549219,Baseball Field
Eastmoor,40.493786,-88.92644915826145,Factory Card and Party Outlet,40.49671238923759,-88.93036517797242,Paper / Office Supplies Store
Eastmoor,40.493786,-88.92644915826145,Pokeworks,40.490255,-88.923454,Hawaiian Restaurant
East Olive,40.477057,-88.9780314,Keller's Iron Skillet,40.4736884,-88.978843,American Restaurant
East Olive,40.477057,-88.9780314,BEER NUTS Brand Snacks,40.47930298222642,-88.9827010175267,Snack Place
East Olive,40.477057,-88.9780314,Urban Carnivore,40.477667,-88.980006,Pet Store
East Olive,40.477057,-88.9780314,Constitution Trail @ Oakland Ave. Bridge,40.47722222621559,-88.9763706957562,Trail
East Olive,40.477057,-88.9780314,Gingerbread House,40.4788179,-88.98072409999999,Toy / Game Store
East Olive,40.477057,-88.9780314,Ryan Pharmacy,40.474338,-88.978434,Pharmacy
East Olive,40.477057,-88.9780314,Discount Tobacco,40.474152983497106,-88.97975761650707,Smoke Shop
East Olive,40.477057,-88.9780314,Green Top Grocery,40.4796498240337,-88.98051258774322,Grocery Store
East Olive,40.477057,-88.9780314,Coffee Hound 3,40.479647,-88.981606,Coffee Shop
E Grove St,40.4780211,-88.9845311,Schooners,40.478105055115066,-88.98533244519714,Bar
E Grove St,40.4780211,-88.9845311,BEER NUTS Brand Snacks,40.47930298222642,-88.9827010175267,Snack Place
E Grove St,40.4780211,-88.9845311,Grove Street Bakery,40.47811081675778,-88.98536434143175,Bakery
